epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy
1,1.9678955644607543,27.4975,1.6766875329971314,39.19,82.41
2,1.600286342048645,41.855,1.6100663953781127,41.86,82.41
3,1.429072952079773,48.24,1.483686993408203,46.62,82.41
4,1.293969935798645,53.5925,1.2882686407089234,53.9,82.41
5,1.1955177661895753,57.3675,1.1497998293876648,58.38,82.41
6,1.1035507418632506,60.755,1.0380201173782349,63.16,82.41
7,1.0317819854736328,63.7175,1.0289902299880982,63.08,82.41
8,0.9775399183273316,65.8975,1.0388094650268556,63.15,82.41
9,0.9236204496383666,67.6725,0.9620020205497741,66.48,82.41
10,0.8847978603363037,69.0625,0.9875767684936524,65.69,82.41
11,0.8587015591621399,70.2775,0.9682269903182983,65.72,82.41
12,0.8210613012313843,71.3225,0.8847990099906922,68.55,82.41
13,0.7924545499801636,72.3125,0.9928925523757934,64.74,82.41
14,0.7666903833389282,73.1625,0.9046303347587585,68.94,82.41
15,0.7469938271522522,73.715,0.9863830883026123,66.49,82.41
16,0.7282310002326965,74.5675,0.7526413177967072,73.76,82.41
17,0.707770026397705,75.395,0.8724317588806152,69.82,82.41
18,0.6959794271469116,75.835,0.7890192983150482,72.31,82.41
19,0.6805518089294433,76.355,0.8266721284866333,71.18,82.41
20,0.6633922273635864,76.89,0.7987440892219544,73.14,82.41
21,0.6520395143508911,77.525,0.8152066286087036,72.48,82.41
22,0.6437311402320862,77.5775,0.8153007090568543,71.81,82.41
23,0.624263874912262,78.34,0.6795890803337097,76.33,82.41
24,0.6156189045906066,78.555,0.7478696401596069,74.12,82.41
25,0.6070987139701843,78.94,0.8074543579101563,72.62,82.41
26,0.5932980973243713,79.23,0.7577472178459167,74.2,82.41
27,0.5896833553314209,79.3575,0.730330838727951,74.83,82.41
28,0.5784579776763916,79.8025,0.709202980709076,75.87,82.41
29,0.5691829315185547,79.985,0.6765823443889618,76.75,82.41
30,0.5621444910049439,80.4725,0.7156434336662293,75.76,82.41
31,0.5605908621788025,80.5725,0.6651216753005982,77.29,82.41
32,0.5496983096122742,80.8975,0.6623362686157227,77.09,82.41
33,0.5422549159049987,81.1575,0.815801554965973,71.95,82.41
34,0.5365286393642426,81.1475,0.7005056135654449,76.61,82.41
35,0.5312992952823639,81.3825,0.7214104207992553,76.2,82.41
36,0.5229101656913757,81.745,0.656332303905487,77.61,82.41
37,0.5164071103572846,81.845,0.6334420280456543,78.36,82.41
38,0.5118136362075806,82.1825,0.6543127814531327,77.95,82.41
39,0.5067044549942017,82.415,0.6659151456832886,77.41,82.41
40,0.5032086396694183,82.2425,0.7438532296180725,75.66,82.41
41,0.4999398396492004,82.57,0.6955818815231323,76.49,82.41
42,0.49316782507896423,82.6425,0.7395636569499969,75.34,82.41
43,0.4874038917541504,82.9325,0.632671246099472,78.96,82.41
44,0.47972966938018796,83.215,0.6136388798713684,78.97,82.41
45,0.4799933859348297,83.1875,0.6284863072872162,78.74,82.41
46,0.47075307579040526,83.51,0.6250494889736176,78.97,82.41
47,0.464334854888916,83.89,0.7139304703235626,76.14,82.41
48,0.4675393072128296,83.67,0.652356157207489,78.51,82.41
49,0.46068220405578614,83.9375,0.8067655369758606,74.94,82.41
50,0.45899417753219607,84.0075,0.635439377784729,78.78,82.41
51,0.4521800790786743,84.1875,0.6170718204975129,79.52,82.41
52,0.44885544486045836,84.3175,0.6729938502311706,77.8,82.41
53,0.44647218961715696,84.2475,0.5866764413356781,80.33,82.41
54,0.44074623546600344,84.4475,0.6436040279388427,78.4,82.41
55,0.4421494474411011,84.465,0.644353813457489,78.35,82.41
56,0.432744709777832,84.695,0.6458437994480133,78.63,82.41
57,0.43046812801361084,84.865,0.6188871606826782,79.63,82.41
58,0.42760224566459654,84.885,0.6345450579166413,79.46,82.41
59,0.42183187422752383,85.125,0.6049475904464722,79.97,82.41
60,0.4197852890491486,85.23,0.5957474989891052,79.64,82.41
