epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy
1,2.082119589996338,0.22915,2.0420693880081178,0.2577,0.2612
2,1.8707504732131959,0.324025,1.8354882633209229,0.3394,0.3422
3,1.7777800178527832,0.35965,1.7717147371292115,0.3429,0.344
4,1.7038832258224488,0.39055,1.786018309211731,0.3626,0.3622
5,1.6545492948532103,0.41095,1.6553143196105957,0.4096,0.408
6,1.6104571271896362,0.4234,1.9003808265686035,0.3589,0.3477
7,1.5671119512557983,0.439125,1.6002170288085937,0.4221,0.4273
8,1.5298477794647216,0.45455,1.5334545364379883,0.4527,0.4586
9,1.4920167259216308,0.46665,1.6869478960037232,0.3959,0.4071
10,1.466588627433777,0.47735,1.7390675476074218,0.4186,0.4197
11,1.4359733060836792,0.4879,1.6214570499420167,0.4243,0.4249
12,1.400086789894104,0.4979,1.4592646343231201,0.4834,0.4835
13,1.374574701499939,0.512575,1.4339501184463501,0.494,0.4929
14,1.345980424308777,0.5207,1.4208861221313476,0.4912,0.5014
15,1.3243062559127807,0.52995,1.4548902603149414,0.482,0.489
16,1.3038613744735719,0.5364,1.4367473987579347,0.4912,0.4977
17,1.2734918846130372,0.54815,1.400108914756775,0.4994,0.4957
18,1.2544486724853516,0.551475,1.3838512733459474,0.5043,0.5093
19,1.2291731756210327,0.56435,1.4215153051376344,0.5008,0.5022
20,1.209168641090393,0.569425,1.4948584732055663,0.4855,0.4855
21,1.1854936782836913,0.5796,1.4233586441040038,0.4882,0.4928
22,1.1625518466949463,0.586875,1.3977360988616943,0.509,0.5093
23,1.1436850658416748,0.593025,1.3395578712463379,0.5236,0.533
24,1.1215752117156983,0.600025,1.3653042543411256,0.5141,0.5182
25,1.1007182580947876,0.60865,1.3906172296524049,0.5146,0.5096
26,1.0820468212127685,0.6152,1.345688458442688,0.5301,0.5291
27,1.0628178230285645,0.62335,1.3583631160736085,0.5255,0.5228
28,1.0382044850349426,0.63225,1.3382455484390259,0.537,0.5321
29,1.0239557693481445,0.6388,1.3140682777404784,0.5392,0.543
30,1.004617227935791,0.64505,1.3660841541290283,0.527,0.5254
31,0.9888567566871643,0.652225,1.3215523761749268,0.5443,0.5435
32,0.9697566600799561,0.65895,1.3193722023010255,0.5423,0.5438
33,0.9562459332466126,0.662725,1.3042958541870118,0.554,0.5472
34,0.9405904602050781,0.66915,1.312825135231018,0.5466,0.5442
35,0.9278890460968018,0.6742,1.3056962989807128,0.5496,0.5502
36,0.9146805346488953,0.679275,1.3109710414886475,0.5492,0.5513
37,0.904011669254303,0.68545,1.2983116632461549,0.5551,0.5505
38,0.8939680848121643,0.689625,1.304770001220703,0.5528,0.5507
39,0.8849533638954162,0.6942,1.2972637496948243,0.5554,0.5522
40,0.8766302218437195,0.69645,1.2915553745269774,0.559,0.5551
41,0.8695106492996216,0.699175,1.2909057327270508,0.5581,0.556
42,0.8637692253112793,0.70225,1.2922448196411134,0.5589,0.5523
43,0.8592155086517334,0.7034,1.2902505628585816,0.5611,0.5563
44,0.8550738981246948,0.7053,1.2951487316131591,0.5594,0.556
45,0.852188708114624,0.707125,1.291563978767395,0.5594,0.5555
46,0.8498858173370362,0.70775,1.290854896736145,0.56,0.5558
47,0.8483425088882446,0.708275,1.2908113904953002,0.5589,0.5572
48,0.8473837455749512,0.7086,1.29066482963562,0.5597,0.5569
49,0.8470497557640075,0.7086,1.29066482963562,0.5597,0.5569
50,0.8470497658729553,0.7086,1.29066482963562,0.5597,0.5569
51,0.8470497590065003,0.7086,1.29066482963562,0.5597,0.5569
52,0.8470497596740723,0.7086,1.29066482963562,0.5597,0.5569
53,0.8470497584342956,0.7086,1.29066482963562,0.5597,0.5569
54,0.8470497620582581,0.7086,1.29066482963562,0.5597,0.5569
55,0.8470497651100158,0.7086,1.29066482963562,0.5597,0.5569
56,0.8470497622489929,0.7086,1.29066482963562,0.5597,0.5569
57,0.8470497663497925,0.7086,1.29066482963562,0.5597,0.5569
58,0.8470497505187988,0.7086,1.29066482963562,0.5597,0.5569
59,0.8470497556686402,0.7086,1.29066482963562,0.5597,0.5569
60,0.8470497591972351,0.7086,1.29066482963562,0.5597,0.5569
61,0.8470497659683227,0.7086,1.29066482963562,0.5597,0.5569
62,0.8470497611999511,0.7086,1.29066482963562,0.5597,0.5569
63,0.8470497546195984,0.7086,1.29066482963562,0.5597,0.5569
64,0.8470497612953186,0.7086,1.29066482963562,0.5597,0.5569
65,0.8470497611045837,0.7086,1.29066482963562,0.5597,0.5569
66,0.8470497637748718,0.7086,1.29066482963562,0.5597,0.5569
67,0.847049757194519,0.7086,1.29066482963562,0.5597,0.5569
68,0.8470497623443604,0.7086,1.29066482963562,0.5597,0.5569
69,0.8470497653007507,0.7086,1.29066482963562,0.5597,0.5569
70,0.8470497589111328,0.7086,1.29066482963562,0.5597,0.5569
71,0.8470497546195984,0.7086,1.29066482963562,0.5597,0.5569
72,0.8470497684478759,0.7086,1.29066482963562,0.5597,0.5569
73,0.8470497580528259,0.7086,1.29066482963562,0.5597,0.5569
74,0.84704976644516,0.7086,1.29066482963562,0.5597,0.5569
75,0.8470497622489929,0.7086,1.29066482963562,0.5597,0.5569
76,0.8470497622489929,0.7086,1.29066482963562,0.5597,0.5569
77,0.847049760055542,0.7086,1.29066482963562,0.5597,0.5569
78,0.8470497584342956,0.7086,1.29066482963562,0.5597,0.5569
79,0.8470497686386108,0.7086,1.29066482963562,0.5597,0.5569
80,0.8470497625350952,0.7086,1.29066482963562,0.5597,0.5569
81,0.8470497624397277,0.7086,1.29066482963562,0.5597,0.5569
82,0.8470497570037842,0.7086,1.29066482963562,0.5597,0.5569
83,0.8470497684478759,0.7086,1.29066482963562,0.5597,0.5569
84,0.8470497594833374,0.7086,1.29066482963562,0.5597,0.5569
85,0.8470497656822205,0.7086,1.29066482963562,0.5597,0.5569
86,0.8470497633934021,0.7086,1.29066482963562,0.5597,0.5569
87,0.8470497622489929,0.7086,1.29066482963562,0.5597,0.5569
88,0.8470497620582581,0.7086,1.29066482963562,0.5597,0.5569
89,0.8470497654914856,0.7086,1.29066482963562,0.5597,0.5569
90,0.8470497647285461,0.7086,1.29066482963562,0.5597,0.5569
91,0.84704975938797,0.7086,1.29066482963562,0.5597,0.5569
92,0.8470497653961182,0.7086,1.29066482963562,0.5597,0.5569
93,0.8470497685432434,0.7086,1.29066482963562,0.5597,0.5569
94,0.8470497628211975,0.7086,1.29066482963562,0.5597,0.5569
95,0.8470497529983521,0.7086,1.29066482963562,0.5597,0.5569
96,0.8470497666358948,0.7086,1.29066482963562,0.5597,0.5569
97,0.8470497586250305,0.7086,1.29066482963562,0.5597,0.5569
98,0.8470497638702392,0.7086,1.29066482963562,0.5597,0.5569
99,0.8470497591018676,0.7086,1.29066482963562,0.5597,0.5569
100,0.8470497615814209,0.7086,1.29066482963562,0.5597,0.5569
101,0.8470497619628906,0.7086,1.29066482963562,0.5597,0.5569
102,0.8470497621536255,0.7086,1.29066482963562,0.5597,0.5569
103,0.847049762916565,0.7086,1.29066482963562,0.5597,0.5569
104,0.8470497692108154,0.7086,1.29066482963562,0.5597,0.5569
105,0.8470497598648071,0.7086,1.29066482963562,0.5597,0.5569
106,0.8470497627258301,0.7086,1.29066482963562,0.5597,0.5569
107,0.8470497553825378,0.7086,1.29066482963562,0.5597,0.5569
108,0.8470497623443604,0.7086,1.29066482963562,0.5597,0.5569
109,0.8470497655868531,0.7086,1.29066482963562,0.5597,0.5569
110,0.8470497625350952,0.7086,1.29066482963562,0.5597,0.5569
111,0.8470497658729553,0.7086,1.29066482963562,0.5597,0.5569
112,0.8470497636795044,0.7086,1.29066482963562,0.5597,0.5569
113,0.847049754333496,0.7086,1.29066482963562,0.5597,0.5569
114,0.847049760055542,0.7086,1.29066482963562,0.5597,0.5569
115,0.8470497640609741,0.7086,1.29066482963562,0.5597,0.5569
