epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy
1,2.082119589996338,0.22915,2.0420693880081178,0.2577,0.2612
2,1.8737057826995849,0.3239,1.839746635055542,0.337,0.339
3,1.7841647647857666,0.358075,1.7907991401672363,0.3332,0.3334
4,1.7118375856399537,0.389525,1.8087932052612306,0.3513,0.3516
5,1.6655012039184571,0.40765,1.6612091707229615,0.4075,0.4021
6,1.6249617931365967,0.417875,1.9233739227294921,0.3535,0.354
7,1.5835539163589478,0.43265,1.6417800121307373,0.4121,0.4121
8,1.5478767528533937,0.447975,1.5415032022476196,0.4494,0.4552
9,1.513214130592346,0.4593,1.6743272756576537,0.3927,0.3979
10,1.4906424880981446,0.4667,1.6811159259796142,0.4254,0.4198
11,1.4590725074768067,0.47965,1.6017320056915283,0.4205,0.425
12,1.425914114189148,0.488975,1.490635347366333,0.4658,0.4714
13,1.406631216430664,0.499925,1.4729509019851685,0.4766,0.4778
14,1.3781511531829833,0.508675,1.422217456817627,0.4904,0.494
15,1.3600683052062987,0.51285,1.4748244297027588,0.4773,0.4819
16,1.3371249601364135,0.525025,1.4591075540542602,0.4797,0.4849
17,1.305359825515747,0.5359,1.4861652696609498,0.4668,0.4684
18,1.2922438327789307,0.537175,1.406605093383789,0.4929,0.4955
19,1.2692067844390869,0.54955,1.4361782463073731,0.4897,0.4929
20,1.2455641038894654,0.554675,1.6494270700454712,0.4396,0.4423
21,1.2277172199249267,0.563275,1.5391467699050903,0.4549,0.4569
22,1.2019002004623414,0.57075,1.602163344192505,0.4443,0.4472
23,1.1856265836715698,0.5766,1.519669854927063,0.472,0.4629
24,1.1648744979858399,0.58285,1.4674268619537354,0.4862,0.4933
25,1.1396640760421752,0.593125,1.4535978200912476,0.4864,0.4827
26,1.124491740989685,0.596075,1.4209722274780274,0.5125,0.5054
27,1.0434961849212647,0.62785,1.428287015914917,0.5043,0.4957
28,1.0243381598472596,0.633375,1.4379745887756348,0.5164,0.512
29,1.0121448320388795,0.6394,1.4219662715911865,0.5178,0.5161
30,0.9937440773963928,0.641975,1.4409578372955323,0.5092,0.507
31,0.9725974944114685,0.65075,1.6608539896011352,0.4677,0.4679
32,0.9512837663650513,0.657625,1.468186950302124,0.5052,0.5109
33,0.9367008054733277,0.661875,1.4028472549438478,0.522,0.5193
34,0.9177793947219849,0.67035,1.5964555541992187,0.4867,0.482
35,0.8987611776351929,0.676825,1.5689634967803956,0.5023,0.4972
36,0.8791096627235413,0.682075,1.5548812978744506,0.5062,0.5021
37,0.8586652144432068,0.691475,1.6463265396118163,0.488,0.4887
38,0.8414320617675781,0.698825,1.507415810585022,0.5258,0.5163
39,0.821339847278595,0.7059,1.5475488792419434,0.5156,0.5049
40,0.8111569350242614,0.710075,1.5403720724105836,0.5169,0.5137
41,0.7736424346923828,0.721225,1.629798052406311,0.5071,0.5027
42,0.7640981565475464,0.72635,1.6132360902786256,0.507,0.4978
43,0.7474697266578675,0.73205,1.7716900579452515,0.4888,0.4828
44,0.732358517742157,0.736825,1.7135538160324097,0.5054,0.5042
45,0.7095780660629273,0.7438,1.6051771169662477,0.5202,0.5128
46,0.6969351004600525,0.75215,1.7220012170791625,0.501,0.4985
47,0.6699234100341797,0.757425,1.7269925239562989,0.4989,0.4939
48,0.6526496765136719,0.766025,1.776209853363037,0.5002,0.5012
49,0.636812286567688,0.770825,1.7235726396560669,0.519,0.5085
50,0.6109332277297974,0.780625,1.80552234249115,0.4976,0.4991
51,0.6058412608146667,0.78095,1.796677705001831,0.5053,0.5056
52,0.5880159655570983,0.790525,1.9012343982696533,0.5013,0.4937
53,0.46129914503097535,0.839025,1.953859213066101,0.5129,0.5184
54,0.44466287908554075,0.843825,1.9583836374282837,0.5218,0.5119
55,0.4249726309776306,0.85315,2.069554370498657,0.4995,0.5015
56,0.4221700385093689,0.850625,2.0100058685302735,0.5133,0.5056
57,0.39748101119995116,0.86055,2.016896014213562,0.5304,0.5158
58,0.39687948989868166,0.8583,2.0329195346832276,0.4994,0.4978
59,0.36849369716644287,0.871175,2.117591410827637,0.5141,0.5109
60,0.38137585701942445,0.865425,2.1761560636520385,0.516,0.5113
61,0.3617407122373581,0.872925,2.117126725769043,0.5274,0.5196
62,0.35153603549003604,0.874325,2.512537297439575,0.49,0.4802
63,0.3330932156085968,0.883575,2.288708464050293,0.5045,0.5041
64,0.3211941701889038,0.886875,2.384117537689209,0.5191,0.5055
65,0.3317983989238739,0.88155,2.2341325229644777,0.5078,0.4953
66,0.30198533644676206,0.893575,2.532470280456543,0.4955,0.4906
67,0.30833085510730746,0.891175,2.4280380130767822,0.513,0.5058
68,0.2846837067127228,0.89905,2.5207722499847414,0.5195,0.5129
69,0.29345702545642854,0.898275,2.5793834796905517,0.5017,0.4972
70,0.28497262971401216,0.9014,2.6294406486511233,0.5111,0.5023
71,0.27077600269317625,0.9053,2.893169387435913,0.4788,0.4733
72,0.24332120945453645,0.9163,2.7503257846832274,0.5179,0.5148
73,0.24510863580703734,0.91475,2.7675379875183106,0.5083,0.5123
74,0.26688578531742096,0.909425,2.5268676872253417,0.5042,0.4985
75,0.20572481908798218,0.929625,2.692324240112305,0.5278,0.5269
76,0.2311854017972946,0.918,2.7224203022003173,0.5165,0.5136
77,0.24366922795772553,0.91625,3.2191293197631836,0.4817,0.4833
78,0.22975515382289888,0.922425,2.922909330368042,0.4993,0.4945
79,0.11268141281604767,0.96545,2.8435744747161866,0.5364,0.5286
80,0.08612069730758667,0.974825,2.9583950263977052,0.5279,0.5209
81,0.0782200742006302,0.977975,2.9453758281707763,0.5398,0.5338
82,0.07292773569822311,0.9797,3.051014137649536,0.5385,0.5342
83,0.06503135970830917,0.98245,3.0533137912750243,0.5344,0.5302
84,0.06116812742054462,0.98305,3.246497322845459,0.5254,0.5232
85,0.053993424272537234,0.986375,3.2432439762115477,0.5241,0.5206
86,0.054214625096321106,0.9856,3.301949652481079,0.5384,0.5255
87,0.046645703327655795,0.988025,3.241431214904785,0.5387,0.527
88,0.042056369733810425,0.989675,3.345713275146484,0.5324,0.5232
89,0.036926648336648944,0.99135,3.3738441062927245,0.54,0.534
90,0.03609535917043686,0.99135,3.553083433532715,0.5243,0.5232
91,0.03489041531383991,0.99195,3.4406665084838868,0.538,0.5303
92,0.02805948547422886,0.994325,3.472574115753174,0.5412,0.5354
93,0.02135093159675598,0.9964,3.554109212875366,0.5404,0.5333
94,0.019216698364913465,0.997,3.540127893066406,0.5358,0.5273
95,0.017096918106079103,0.9977,3.589063606262207,0.5388,0.5332
96,0.01588057595640421,0.997525,3.6341816680908203,0.5414,0.5363
97,0.014820351005345582,0.997975,3.663688514709473,0.5433,0.5361
98,0.01277191958129406,0.998475,3.727378444671631,0.5459,0.5338
99,0.01048589458167553,0.99915,3.756978646850586,0.5432,0.5363
100,0.009462820284068585,0.99935,3.7546881454467775,0.544,0.5366
101,0.00995714446157217,0.999,3.803993839263916,0.5397,0.5343
102,0.008046116530895233,0.999525,3.85600364151001,0.5444,0.5368
103,0.0074247514359653,0.999475,3.854892694091797,0.543,0.5347
104,0.006296975745260716,0.99965,3.9145893562316894,0.5403,0.5335
105,0.00553288843035698,0.999775,3.931603993988037,0.5438,0.5359
106,0.005031152368336916,0.99985,3.94433302154541,0.5456,0.5352
107,0.004811155835166573,0.999775,3.9739740341186525,0.5425,0.536
108,0.004569872152060271,0.99985,3.9822610466003416,0.5446,0.5355
109,0.0044786516506224875,0.999875,3.9987213134765627,0.5431,0.5361
110,0.0043228091176599264,0.999825,4.030262617492676,0.5436,0.5374
111,0.00409356803484261,0.9998,4.053575099182129,0.5458,0.5382
112,0.004005629031360149,0.9999,4.040547389221191,0.5425,0.5363
113,0.0036783639788627626,0.999925,4.063620243835449,0.5442,0.5344
114,0.0035121712990105153,0.999875,4.07674182510376,0.5439,0.5377
115,0.003629852134361863,0.999825,4.092484062957763,0.5439,0.5366
116,0.0033263080917298794,0.99995,4.099384209442139,0.545,0.5368
117,0.0032089951038360596,0.99995,4.109171382141113,0.545,0.5356
118,0.0030915799342095852,0.999975,4.120016584777832,0.5448,0.5369
119,0.0032086849294602872,0.999925,4.13194797668457,0.5439,0.5339
120,0.003019321709126234,0.9999,4.1561703025817875,0.5447,0.5365
121,0.003007478940486908,0.9999,4.150259196472168,0.5457,0.5351
122,0.0027841279776766896,0.999975,4.17362067565918,0.5447,0.5359
123,0.0026650639256462455,0.999975,4.180249170684815,0.5435,0.5363
124,0.0026830891557037832,0.999925,4.205646202087403,0.5451,0.5358
125,0.0025640084981918337,0.999975,4.206676128387451,0.5436,0.5353
126,0.0024495076728984714,0.999975,4.220200155639648,0.5449,0.537
127,0.0024218512885272503,0.999925,4.234746276855469,0.5454,0.5358
128,0.0023498361319303513,0.999975,4.232127319335937,0.5452,0.5368
129,0.002329618857987225,0.9999,4.240921453094482,0.5439,0.5368
130,0.002248174972459674,0.999975,4.259470202636718,0.5436,0.5359
131,0.002131408686377108,0.999975,4.265023268890381,0.5441,0.5358
132,0.002167950836010277,0.999925,4.276508193969726,0.544,0.5363
133,0.0020136982768774033,0.999975,4.272626796722412,0.5434,0.5361
134,0.002054688211809844,0.99995,4.279961484527588,0.545,0.5366
135,0.0019797876603901386,1.0,4.300367203521729,0.5433,0.5361
136,0.0019108188483864068,1.0,4.300439911651611,0.5438,0.5371
137,0.0019584421023726463,0.999975,4.307764094543457,0.5451,0.5364
138,0.001885872906818986,0.999975,4.318601519775391,0.544,0.5357
139,0.0018661917777732014,0.999975,4.3274578308105465,0.5429,0.5362
140,0.0018064445355907082,0.999975,4.331838733673096,0.5436,0.537
141,0.001777867227047682,1.0,4.335695507049561,0.5448,0.5365
142,0.0017616689754649997,0.999975,4.348377324676513,0.5451,0.5362
143,0.0017379534313455224,1.0,4.349902524566651,0.5446,0.5359
144,0.0017138755459338427,0.999975,4.352838105010986,0.544,0.5367
145,0.0016766163423657418,1.0,4.363549271392822,0.5443,0.5352
146,0.001655754480883479,0.999975,4.366760034942627,0.5434,0.5359
147,0.001648091734200716,0.999975,4.3664757453918455,0.5442,0.5356
148,0.0016171118885278703,1.0,4.383698628997803,0.5435,0.5356
149,0.001577226541377604,1.0,4.393753620147705,0.5447,0.5371
150,0.001548308054637164,1.0,4.39442876739502,0.5444,0.5362
151,0.0015579131742939354,1.0,4.392955220794677,0.5448,0.5365
152,0.0015110974928364159,1.0,4.405576194000244,0.5438,0.536
153,0.0015123610539361835,1.0,4.411717565917969,0.5451,0.5358
154,0.0014739808658137917,1.0,4.422704377746582,0.5451,0.5364
155,0.0014779094034805893,1.0,4.42361429977417,0.5444,0.5359
156,0.0014631869135424494,0.999975,4.42299488067627,0.5448,0.5361
157,0.0014087686052545905,1.0,4.436024227142334,0.5445,0.5361
158,0.001390314343571663,1.0,4.441289825439453,0.5445,0.5364
159,0.001389023968577385,1.0,4.4411619323730465,0.5449,0.5371
160,0.0013530286571010947,1.0,4.448258056640625,0.5438,0.5357
161,0.001353304305486381,1.0,4.450754959106446,0.5441,0.5359
162,0.0013322907451540232,1.0,4.4547776596069335,0.545,0.5364
163,0.001334062160924077,1.0,4.462480227661133,0.5442,0.536
164,0.0013094583362340928,1.0,4.462184316253662,0.5441,0.5358
165,0.0012998457821086049,1.0,4.468397715759277,0.5449,0.5366
166,0.0012873402176424862,1.0,4.470965715026855,0.5439,0.5356
167,0.0012672974728047848,1.0,4.479122074127197,0.5445,0.5359
168,0.0012707642970606686,1.0,4.480563687896728,0.5441,0.5361
169,0.0012508885530754924,1.0,4.484904539489746,0.5439,0.5353
170,0.0012385515538975596,1.0,4.4858175468444825,0.5446,0.5356
171,0.0012276876342482866,1.0,4.49002799911499,0.5446,0.5358
172,0.0012211516577750445,1.0,4.495405625152588,0.5437,0.5353
173,0.0012054938787594437,1.0,4.497489385986328,0.5452,0.536
174,0.0011938501643016933,1.0,4.501082518005371,0.545,0.5366
175,0.001185854169819504,1.0,4.506283611297607,0.5445,0.537
176,0.0011919540921226143,1.0,4.512952965545654,0.545,0.5365
177,0.0011566484599374236,1.0,4.510609156799316,0.5438,0.5359
178,0.0011718518476933242,1.0,4.516692208099365,0.5448,0.5362
179,0.001142843989096582,1.0,4.520037372589111,0.5448,0.5362
180,0.001134761509951204,1.0,4.525115451812744,0.5441,0.5358
181,0.0011240583922713994,1.0,4.530740208435058,0.5442,0.5354
182,0.0011133820120245218,1.0,4.531013733673095,0.5442,0.5347
183,0.0011025797598063947,1.0,4.537433660888672,0.5445,0.5365
184,0.0010959480273537339,1.0,4.540020986938477,0.5442,0.5362
185,0.0010847216797992586,1.0,4.543624031066894,0.5443,0.5363
186,0.0010755777426064014,1.0,4.543018682861328,0.5447,0.5363
187,0.0010726047940552235,1.0,4.547021600341797,0.5449,0.5369
188,0.0010642138531431556,1.0,4.547978807830811,0.5447,0.5354
189,0.0010602417159825564,1.0,4.554248976135254,0.5451,0.5357
190,0.001056699595414102,1.0,4.556526372528076,0.5452,0.5358
191,0.0010499967307783663,1.0,4.557833481597901,0.5448,0.5357
192,0.0010373544592410327,1.0,4.5595005409240725,0.5444,0.5352
193,0.0010290874329395591,1.0,4.564543247985839,0.5451,0.5365
194,0.0010256419667974115,1.0,4.565339481353759,0.5444,0.536
195,0.0010222160251811146,1.0,4.5692139389038084,0.5456,0.5361
196,0.0010094858756288887,1.0,4.572474230957031,0.545,0.5355
197,0.0010116022551432252,1.0,4.5765770782470705,0.5456,0.5357
198,0.0010034961341880261,1.0,4.578792753601074,0.5452,0.5364
199,0.0009933816192671658,1.0,4.582888276672363,0.5456,0.5356
200,0.0009980126913636924,1.0,4.5853390159606935,0.5451,0.5357
